City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kamenka,RU,51.3223,42.7678,27.09,66,97,6.22,overcast clouds
80,Punta Arenas,CL,-53.15,-70.9167,53.71,43,20,18.41,few clouds
81,Ancud,CL,-41.8697,-73.8203,71.13,75,33,5.08,scattered clouds
82,Beira,MZ,-19.8436,34.8389,77.09,88,0,3.44,clear sky
83,Kruisfontein,ZA,-34.0033,24.7314,62.89,94,47,12.15,scattered clouds
84,Shimoda,JP,34.6667,138.95,52.16,82,100,14.29,overcast clouds
85,Hithadhoo,MV,-0.6,73.0833,81.28,79,90,12.15,overcast clouds
86,Tawau,MY,4.2498,117.8871,77.13,94,100,3.42,overcast clouds
87,Barrow,US,71.2906,-156.7887,12.22,79,90,21.85,haze
88,East Wenatchee Bench,US,47.4257,-120.2812,40.28,56,1,1.99,clear sky
89,Longyearbyen,SJ,78.2186,15.6401,15.64,73,75,11.5,broken clouds
90,Jalu,LY,29.0331,21.5482,56.55,62,1,6.67,clear sky
91,Seredka,RU,58.1584,28.1858,6.55,92,51,5.97,broken clouds
92,Antalaha,MG,-14.9003,50.2788,73.67,88,9,5.95,light rain
93,New Norfolk,AU,-42.7826,147.0587,66.92,39,50,6.96,scattered clouds
94,Port Alfred,ZA,-33.5906,26.891,68.22,92,100,10.11,overcast clouds
95,Norman Wells,CA,65.282,-126.8329,-29.16,68,75,4.61,broken clouds
96,Saint-Philippe,RE,-21.3585,55.7679,76.55,80,33,9.98,scattered clouds
97,Castro,BR,-24.7911,-50.0119,63.75,86,98,0.72,overcast clouds
98,Salalah,OM,17.0151,54.0924,75.29,33,0,9.22,clear sky
99,Elat,IL,29.5581,34.9482,60.64,41,0,0.0,clear sky
100,Blagoyevo,RU,63.3667,47.9167,1.49,98,75,4.27,broken clouds
101,Pontes E Lacerda,BR,-15.2261,-59.3353,74.68,95,99,2.89,heavy intensity rain
102,Grindavik,IS,63.8424,-22.4338,39.67,87,75,12.66,broken clouds
103,Taoudenni,ML,22.6783,-3.9836,60.8,23,100,9.53,overcast clouds
104,Lebu,CL,-37.6167,-73.65,58.46,81,0,14.0,clear sky
105,Fort-Shevchenko,KZ,44.5086,50.263,45.57,61,89,3.51,overcast clouds
106,Makambako,TZ,-8.8453,34.823,60.39,90,98,10.45,overcast clouds
107,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.78,63,75,6.71,broken clouds
108,Laguna,US,38.421,-121.4238,66.24,85,75,4.61,broken clouds
109,Sakakah,SA,29.9697,40.2064,58.57,43,73,8.57,broken clouds
110,Nantucket,US,41.2835,-70.0995,43.02,63,1,0.0,clear sky
111,Qianguo,CN,45.1171,124.8568,19.31,87,64,7.43,broken clouds
112,Corinto,GR,37.9407,22.9573,57.45,83,2,4.56,clear sky
113,Aklavik,CA,68.2191,-135.0107,-6.77,87,13,8.86,few clouds
114,Leshukonskoye,RU,64.8989,45.7622,5.31,89,18,5.77,few clouds
115,Tasiilaq,GL,65.6145,-37.6368,29.34,92,97,20.2,light snow
116,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,20,16.11,few clouds
117,Balabac,PH,7.9868,117.0645,82.15,74,57,16.87,broken clouds
118,Haines Junction,CA,60.7522,-137.5108,-0.29,100,100,1.77,light snow
119,Ribeira Grande,PT,38.5167,-28.7,64.18,71,87,9.15,overcast clouds
120,Aswan,EG,24.0934,32.907,60.1,38,0,9.22,clear sky
121,Broome,US,42.2506,-75.833,42.22,59,90,3.0,overcast clouds
122,Boguchany,RU,58.3814,97.4531,25.95,97,100,5.48,light snow
123,Pauini,BR,-7.7136,-66.9764,74.14,95,97,2.71,overcast clouds
124,Sinnamary,GF,5.3833,-52.95,77.49,89,96,7.4,overcast clouds
125,Dikson,RU,73.5069,80.5464,-3.39,94,100,9.6,overcast clouds
126,Narsaq,GL,60.9167,-46.05,25.02,63,98,13.62,overcast clouds
127,Gat,IL,31.61,34.7642,61.92,53,37,8.81,scattered clouds
128,Nuuk,GL,64.1835,-51.7216,27.21,74,75,25.32,light snow
129,Faanui,PF,-16.4833,-151.75,81.39,66,55,16.67,broken clouds
130,Hashtrud,IR,37.4779,47.0508,38.77,35,100,8.88,overcast clouds
131,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,40,8.05,light rain
132,Kavieng,PG,-2.5744,150.7967,83.28,76,92,7.36,moderate rain
133,Melo,UY,-32.3667,-54.1833,64.49,73,36,13.49,scattered clouds
134,General Roca,AR,-39.0333,-67.5833,84.6,19,0,10.36,clear sky
135,Arklow,IE,52.7931,-6.1414,42.98,79,100,12.1,light rain
